,text,rated,coloring,date,bank,theme,name,sex
25,"никогда не был клиентом, но звонят на домашний телефон и требуют человека которого никогда не знал, который никогда не жил по моему адресу, и никогда не пользовался номером телефона. абсолютно тупая организация,  пытался объяснить ситуацию, что я не знаю этого человека и выяснить откуда у них мой телефон, несут какую-то чушь что я должен явиться к ним в отделение с паспортом и что-то доказать.",1,bad,"29 мая, 2018",sovkombank,Другое,Вячеслав,male
26,"Все менеджеры сидят общаются на темы не связанные с работой, работает одно окно и очень медленно. При вопросе сколько ещё ждать, отвечают в грубой форме "" одидайте вызова"". И это называется сервис :((",1,bad,"28 мая, 2018",rosbank,Кредиты наличными,Светлана,female
27,"связи с переездом из Севастополя во Владивосток в июле 2017 г. обратился с письменным заявлением о закрытии зарплатного счета. Заявление и карту приняли в отделении банка, а после моего отъезда, потеряли. Трижды писал жалобы на сайте, от ответа по сути уклоняются, пишут разъяснения правил обслуживания, что могу обратиться с личным заявлением о закрытии счета. В итоге, придется лететь в Крым только для того, чтобы закрыть счёт. Затраты 100 000 р. Оценка 1 - это авансом",1,bad,"14 мая, 2018",rnkb,Дебетовые карты,,unkn
28,"Здравствуйте! Хочу оставить отзыв о сотруднице банка ВТБ (ПАО) В-вой Ирине Александровне ,офис находится по  адресу г. Ростов-на-Дону, микрорайон Сельмаш, ул. Селиванова, 64/112. г. я пришла в банк ВТБ, отказываться от страховки «Финансовый резерв Лайф+», навязанный банком, на меня посыпались угрозы от сотрудницы В-ой, дабы я испугалась и не отказывалась от этой страховки. Мне распечатали бланки, которые нужно заполнить при отказе от страховки. Пока я заполняла бланки, сотрудница  В-ва в открытую запугивала меня скорой расправой со мной службой безопасности банка. Свидетелем этого разговора был молодой человек, представившийся директором банка. Далее В-ва И.А. сказав, что камеры видео наблюдения все записывают (видео и аудио), обвинила меня в мошеннических действиях, якобы я заранее все продумала, взяла кредит и отказываюсь от страховки. Страхование жизни и здоровья у нас является добровольным, о чём нам говорит статья 935 ГК РФ: «обязанность страховать свою жизнь или здоровье не может быть возложена на гражданина по закону». После того, как я заполнила все бланки, я задаю вопрос В-ой, через сколько будет результат и как меня оповестят. На что она злорадствуя и мерзко ухмыляясь ответила, что она не знает ничего, и со мной будет работать с этого момента их служба безопасности, о чем по ее словам, я должна  буду вскоре очень сильно пожалеть. Поведение сотрудницы , В-ой Ирины Александровны , считаю крайне не профессиональным  ,предвзятым и грубым. Считаю переход «на личности» неприемлемым в рамках делового общения. Прошу руководство  наказать сотрудницу  Воронову  за причиненные моральные оскорбления и поставить вопрос о соответствии данной сотрудницы занимаемой должности. Ответы из разряда ""не знаю"" от ответственного работника банка, считаю крайне недопустимыми и дискредитирующими весь банк.",1,bad,"05 мая, 2018",vtb,Рефинансирование кредитов,Ирина,female
29,"Здравствуйте хочу вам рассказать про совкомбанк, взяла телефон в кредит под 15% годовых придя домой скачала мобильный банк, и там я обнаружила что на меня оформлено две карты, за одно снялась плата почти четыре тысячи, ещё и страховку которую я отксзывалась тоже 4 тысячи. Но не одна карта не была выдана мне на руки и в договоре о них не чего не написано. Звоню в банк объясняю ситуацию, они попросили пройти в отделения и написать заявления, сотрудник банка сказал заявления будет рассмотрено в течении 4 дней прошло уже 5, молчат и карты не заблокировали. Думаю подавать в суд на оферты, это же считается машейничеством!",1,bad,"04 мая, 2018",sovkombank,Кредиты наличными,Анастасия,female
30,"февраля 2018 года обратилась в офис на каменноостровском. менеджер д-ва обслуживала меня и предложила вклад поделить на два-один как я и хотела, а второй-долгосрочный пополняемый вклад.вклад застрахован, страховка как при поездке заграницу обяызательна, но бесплатна и позволяет получить деньги с вклада наследникам в случае смерти вкладчика в течении 14 дней не дожидаясь вступления в права наследства. В итоге вместо второгт вклада копилка -полис страховой вск на дожитие на никому в здравом уме не выгодных условиях. Клиент доверяет банку с лицензией....а нельзя. Потом Вас грубо пошлют в банке-сами подписали.Это не Кипр и не Китай, где можго доверять продавцу в интернете и залог за машину вернут на карту в день вылета из страны. Это Россия! Роспотребнадзор рекомендует в банк идти с диктофоном, двумя свидетелями и диктофоном, брать с обой юриста с лупой...юУпс..Берегите свои деньги, время и здоровье. К сожалению фото и аудиозапись пока не знаю как выложить, но постараюсь с этим разобраться и уберечь клиентоув от финансовых потерь. А пострадавшие-пишите в Прокуратуру. В банке и вск Вас пошлют-ничего не добьетесь.",1,bad,"30 апр, 2018",binbank,Вклады,,unkn
31,"Положили деньги на карту крайинвестбанк ( через кассу банка крайинвестбанк)! Было заявлено, что деньги на карту поступят в течение суток. Прошло 2 дня. Поехали в банк разбираться! В итоге этот перевод в базе не увидели, вызывали сотрудника который работал в тот день и должен был перевести деньги....и.....когда сотрудник приехала, заявила что ЗАБЫЛА!!!!! ЗАБЫЛА ПЕРЕВЕСТИ ДЕНЬГИ! вот очень интересно, как касса мы лась в тот день, если этого перевода в базе нет..как выдали квитанцию что перевод отправлен!!!! Итог, деньги в итоге со слов сотрудника перевели сегодня и...их конечно ещё нет...впереди 4 дня выходных! Спасибо крайинвестбанк!!!!! У вас минус 2 клиента и надеюсь люди почитают этот отзыв и тоже сделают выводы! деньги переводили в банке г.Симферополь, на ул.Жуковского, это на случай если вы решите как- то повлиять на работу сотрудников данного филиала)",1,bad,"28 апр, 2018",krajinvestbank,Обслуживание,Валерия,female
32,"г. в 18.20 по адресу г.Казань, Ямашева, 82 РОСБАНК, отделение ""Ново-Савинский"" хотел открыть вклад на ВИП сумму на 7 месяцев под 7% ВКЛАД ""150 ЛЕТ НАДЕЖНОСТИ"", заранее узнал все условия вклада на сайте и через горячую линию. Однако обратившись в отделение, консультант, посоветовшись с директором филиала, как оказалось умышленно хотели обмануть меня и ввести в заблуждение... Как оказалось, по их словам необходимым условием вклада является страхование жизни. Однако несколько раз позвонив на горячую линию в присутствии директора филиала по вопросам условия вклада, страхование жизни не является обязательным требованием - ответили по горячей линии. Вследствие чего я затребовал предоставить образец договора, на что директор филиала отказалась предъявлять договор на вклад и ответила, что это ее личное требование как директора филиала оформит страхование жизни... она представилась как З-ва Дина Айдаровна. Оставив негативный отзыв на горячей линии, мой номер телефона добавили в черный список: постоянно не дозвониться, а с другого номера берут... Рекомендую Всем не обращаться в РОСБАНК, умышленно обманывают клиентов, без извинений врут, считаю - нарушены мои права. Требую директора филиала наказать, а именно - УВОЛИТЬ. Осталось только негативное мнение... так же имеются все телефонные записи разговоров.",1,bad,"27 апр, 2018",rosbank,Вклады,Руслан,male
33,"Нахожусь в США и пользуюсь услогой Бинбанка онлайн для получения своей российской пенсии в рублях, переводу ее в доллары и использования дебетовой долларовой карты Бинбанка для своих нужд на территории США. С вводом новой версии Бинбанка онлайн версии 2.0 начались постоянные проблемы, а именно- не отражались все мои счета и карты открытые в Бинбанке, через несколько дней удалось сотрудникам банка решить проблему. Но осталась и не решена проблема в течении нескольких месяцев проблема разницы в курсе перевода с моего текущего счета в рублях на долларовый счет или долларовую карту. Курс как правило на несколько рублей выше курса указанного в старой версии Бинбанка онлайн или на официальном сайте банка. На мои неоднократные обращения и заявления в банк мне поступали ответы что проблема доведена до разработчиков программы и будет решена и такие ответы получааю ежемесячно с ноября 2017 года по март 2018 года.  Кроме того появилась задержка или вообще неполучение смс пароля для входа в банк онлайн. Хуже того,  с  начала апреля пропала возможность пользоваться услугами старой версии Бнбанка онлайн.",1,bad,"24 апр, 2018",binbank,Обслуживание,,unkn
34,"Заказала получение собственных денег с карты ""Халва"" на 17/4, но так в Саратове был праздник Радоницы и МФЦ (многофункциональный центр) не работал, то я через горячую линию перенесла получение денег на 20/4. А когда пришла получать деньги, то они о моей завявке ничего не знают, денег нет, а с карты можно снять только 100 000   в месяц. Просидели почти 2 часа пока с горем пополам выбили или выпросили незначительну.ю сумму (400 000). Я осталась должна людям деньги. Обслуживают очень медленно, операторы бестолковые. Сегодня, после работы я прибежала в банк в 16-45 и операторы банка отказались обслуживать, ссылаясь на то, что они не успеют меня обслужить, хотя на входной двери написано : РАБОТАЕМ ДО ПОСЛЕДНЕГО КЛИЕНТА. И итоге, я опять не смогла получить собственные деньги. Как говорится: отдашь руками, не выходишь ногами. А  Сергеева Кристина в офисе по ул. Проспект Строителей, 36 в присутствии клиентов хамила, нагло улыбаясь. Отвратительный банк. Обходите стороной этот банк.",1,bad,"21 апр, 2018",sovkombank,Обслуживание,Лилия,unkn
35,"В 2017 году пришел чтобы открыть вклад, предложили инвестиционый якобы вклад с высокими процентами, все красиво рассказали ,описали. На деле оказалось, что подсунули Доровор страхования жизни ,в котором про прибыль от этого ""вклада""ничего не говориться! Читайте вывески, как говорил Оспап Бендер ! В итоге меня развели, и через год я снимаю сумму меньше на 300тыс чем положил (((",1,bad,"17 апр, 2018",trast,Вклады,Евгений,male
36,"Прислал мне ВТБ сообщение, что мне одобрено супер предложение кредит под 12% годовых. Я подумала вот здорово пойду возьму кредит, тем более мой зарплатный банк, никаких справок не требуется, только паспорт. 26.02.2018 года в отделении банка ВТБ в г. Черняховске я оформила кредит на 350000 рублей. При оформлении кредита сотрудница банка сказала, что мне одобрен кредит только со страховкой. Страховка составила 93038,00.Но что это не просто мне предоставлена пакетная страховка, а что она включает меня в программу коллективного страхования в рамках страхового продукта «Финансовый резерв» мне не сказала.И при чем без страховки кредит не давали, это было условие выдачи кредита, и это еще и зарплатный банк называется.Решила на следующий день досрочно погасить кредит. Сотрудница Банка в головном офисе в г. Калининграде меня выслушала и предложила написать обращение в Банк. И сказала что по обращениям решение принимается в течении 15 дней,  а сами деньги возвращаются еще по пришествию 30 дней и через примерно 45 дней ждите ваши деньги. Написала я обращение №CR-5567248,  но прошло уже 45 дней и по моему обращению нет никакой реакции. Прислали мне СМС  «Ваше обращение потребовало дополнитеной проверки изложенных Вами обстоятельств и еще находится на рассмотрении». И что это за светское отношения к клиентам, которые доверились банку ВТБ. Совсем банк не дорожит своей репутацией, вот сколько интересно можно расследовать такое сложное дело, целый отдел 2 месяца расследует, начинаешь сомневаться в компетентности работников ВТБ. В Центробан напишу жалобу на такое обслуживание. И походу пора в суд идти, уже и обращение написано и заявление и досудебная претензия, на которую также нет ответа. Тем более в своей победе уверена на 100%, и деньги вернут, и судебные издержки погасят, и штраф заплатят, еще и в плюсе окажусь.",1,bad,"16 апр, 2018",vtb,Другое,Ксения,female
37,"Впрочем думаю не надо связываться с этим Райфайзен банком, мало того , что я просидел час ,так еще попалась хамка! Неее ни за что больше не ногой туда, сплошной обман! Банк находиться на Ваське в СПБ , Малый проспект 22, ппц нет слов от обслуживания там!",1,bad,"06 апр, 2018",rajffajzenbank,Кредиты наличными,Данил,unkn
38,"Брали кредит в городе Казани. Живу в г. Альметьевск. Условий никаких, платил полгода переводом с мобильного приложения другого банка закрыв глаза на комиссию, потом оказалось, что указаны неправильные реквизиты, хотя все предыдущие платежи проходили. График платежей получил только через три месяца!!! Худьший банк на моей памяти.",1,bad,"03 апр, 2018",uralsib,Автокредиты,Ильнур,unkn
39,"марта обратился в офис втб на ул. Крауля 44 для получения кредита. Сам я являюсь зарплатным проектом банка и более того работаю в группе компаний втб!!! Сотруднику сообщил, что страховку жизни мне не нужно навязывать, на что сотрудник сказал что от нее ничего не зависит и сам банк втб при одобрении принимает решение одобрить кредит со страховкой жизни или нет. По итогу в тот же день мне позвонили из банка и сообщили, что кредит одобрен и пригласили в банк рассказать об условиях одобрения. По итогу сотрудник озвучивает: одобрен мой кредит в размере 600 000р, страховка жизни 109 000р! Я попросил убрать ее, но ответ опять был о тот что она не может и что банк лишь на таких условиях готов выдать мне кредит! Иначе будет вам отказано! Конечно я отказался и ушел. Тем же вечером я позвонил на горячую линию втб за разьяснением ситуации, сотрудник горячей линии сообщил, что страховка не обязательна, что при заведении заявки на одобрении сотрудник банка ставит галочку о согласии на страховку а не банк выносит решение о ней! Далее сорудник посмотрев условия моего кредита сообщил что у меня одобрен кредит без страховки!! И порекомендовал вновь явиться в офис и позвать управляющую отделения. 21 марта 2018 г. с самого утра мне позвонил сотрудник банка из отделения который подовал заявку на одобрение и сообщил что ей удалось согласовать понижение страховки меньше 109 000р. Я просто был в шоке!!! Я все ей сказал о том что знаю о кредите мне одобренном без страховки, что горячая линия мне все разьяснила! И пригрозил что я обращусь к ее управляющей, на что она посмеялась и сказала пожалуйста приходите, без страховки вам банк кредит не даст! По итогу вчера я подал заявку через сбербанк онлайн на кредит, не ходя в офис! Там же на сайте ты сам выбираешь поставить галку по страховке или же подать заявку без нее! Это очень удобно, СБЕРБАНК МОЛОДЦЫ И НА МНОГО ШАГОВ ВПЕРЕДИ ВТБ! Сервис супер! Через 7 часов кредит был одобрен со ставкой выше чем у втб на 0.4%, что не очень существенно пр их сервисе! За втб же мне очень стыдно!",1,bad,"22 мар, 2018",vtb,Кредиты наличными,Илья,male
40,"Мне навязали карту этого банка под предлогом беспроцентной оплаты школьного питания и коммунальных услуг. Говорю именно ""навязали"", потому, что другое слово подобрать нельзя. Массово собрали контактную информацию с родителей школьников и выдали карты. Замечу, не потрудились даже обеспечить правильность заполнения этой самой информации. Далее выяснилось, пользоваться онлайн-версией банка невозможно, то он зависает, то выдает ошибки. БОльшую часть услуг оплатить через нее невозможно. И вообще сама система выглядит очень ""слабо"" по-сравнению с другими банками. Время на попытки ею воспользоваться уходит очень много, результат- нулевой. Еще один минус: деньги зачисляются как на счет так и со счета до 7 дней, что в наше время абсолютно неприемлемо. Даже положив деньги на счет через терминал пришлось ждать 3 дня. Обращаться в офисы обслуживания не лучше - очереди и потерянное время. Вывод: лучше заплатить комиссию за быстрое и качественное обслуживание в других банках, чем потерять время, пользуясь услугами данного банка.",1,bad,"21 мар, 2018",kuzneckij,Обслуживание,Дарья,female
41,"У меня был кредит в ВТБ, застрахованный. Узнав о грядущем сокращении я его почти погасила. Предоставила в банк кучу документов о наступлении страхового случая. Страховку мне не выплатили, но увеличили баланс кредитки. На отказ об увеличении обязаны отреагировать в течении недели, но сумму не снизили, а просто перестали отвечать после того как я предупредила, что обращусь в суд. Вот такое ""внимательное и чуткое"" отношение к давнему и порядочному клиенту.",1,bad,"21 мар, 2018",vtb,Кредитные карты,Елена,female
42,"января 2018 года, я обратился в банк с претензией о признании недействительным присоединения меня к коллективному договору страхования от 03.02.2017. От присоединения я отказался в тот же день, еще до с наступления срока действия данного договора. Претензия была отправлена по электронной почте и заказным письмом с уведомлением. Банк претензию зарегистрировал, о чем сообщил в письме и обещал дать ответ в течение 15 дней. Прошло два месяца, а я кроме смс о продлении срока иногда по два в день, ответа так и не получил. Прошу разобраться с данной ситуацией и направить мне ответ на претензию. А-в Александр Николаевич",1,bad,"20 мар, 2018",vtb,Обслуживание,Александр,male
43,"У нашей компании с октября месяца начали списывать деньги со счета. В октябре 2017 3000 рублей, потом ещё 3000 и в декабре выгребли остаток - 758 рублей с копейками. Почитали отзывы других клиентов и выяснили, что у другой компании списывали вообще по 9000 рублей в месяц. Итого банк списал с нашего счета 6 758 рублей 89 копеек. Формулировка: ""Комиссия за ведение счета в связи с отсутствием расходных/приходных операций за последние 6 месяцев"". С подобными условиями мы ознакомлены не были. Более того нам в октябре звонил менеджер банка и уточнял ""А вы не хотите закрыть счет в нашем банке?"". Генеральный директор ответил, что не хотим и на этом разговор был закончен. Менеджер не предупредил о нововведениях и о таких крупных комиссиях. Теперь ситуация такая: нам до конца этого месяца нужно оплатить электронную отчетность, а на счету вместо положенных 6758 рублей - круглый ноль. Банк нас очень подвел, никакого доверия ему нет, денег возвращать отказался. При заключении договора в тарифах банка эта комиссия прописана не была. Банк отказывается вернуть украденные 6 758,89 рублей. Наша компания является клиентом банка около 5 лет, с воровством столкнулись впервые, но претензий к обслуживанию более чем достаточно, просто эта история стала венцом всех безобразий.",1,bad,"16 мар, 2018",promsvjazbank,Обслуживание,,unkn
44,"Пришли оплатить выставленный счет через операциониста, работник банка заставил открыть счет и перевести деньги со счета взыскав за операцию 1%. На вопрос почему нельзя сразу оплатить выставленный счет наличными, девушка ответила, что так нельзя. Мы ответили, что ровно год назад было можно. Она сказала, что правила изменились. Старших менеджером на работе не было, нам сказали, что они приходят позже. Отделение 3-й Крутицкий пер. 11. 14.03.2018",1,bad,"14 мар, 2018",gazprombank,Обслуживание,Ирина,female
45,"В августе 2013 года открыла валютный вклад ""Эталон"" на 3 года (100 долларов), В августе 2016 году срок договора по вкладу закончился. По условиям договора по окончанию срока вклад был переведен счет ""До востребования"", при этом в договоре не указано было, что этот счет платный - 100 руб. в месяц. При обращении в банк за вкладом в феврале 2018 года (после окончания вклада прошло 18 мес.) с меня высчитали сумму за обслуживание в результате от 100 долларов осталось только 50. На момент закрытия вклада стоимость доллара 56 руб., т.е. за обслуживание счета и еще каких-то комиссий с меня взяли около 2800 руб. Полное нарушение прав потребителей - в договоре не прописаны все сборы и комиссии. Потеря денег и доверия к банку.",1,bad,"14 мар, 2018",rosbank,Вклады,Светлана,female
46,"г. я решил перейти с классического пакета услуг банка на базовый и обратился в офис ВТБ24 в отделение в г.Уфа. Дождался очереди и специалист переподключил мне пакет услуг. У меня имеются 2 карты в долларах и евро к мастер-счетам. Уточнив у представителя банка нужно ли закрывать карты и будет ли их обслуживание бесплатным он ответил, что обслуживание будет абсолютно бесплатным и не нужно закрывать карты, так как вы оформили их во время действия классического пакета. Ничего не подозревая и обрадовавшись пошел домой. г. зашел в ВТБ-Онлайн и увидел списание по картам в долларах и евро -20 долларов и -15 евро соответственно. Позвонив на горячую линию специалист объяснил, что комиссия списалась законно, а действия конкретного сотрудника банка являются некомпетентными. До сих пор о банке складывалось более хорошее мнение, чем плохое, так как плачу ипотеку и не было проблем с банком в этом плане. Но после таких вот неприятных обстоятельств желание с вами сотрудничать напрочь отпадает. Причем никто из представителей банка не может объяснить почему в выписке не отображается в счет чего списались деньги. Это нормально, ВТБ? Разберитесь уже и дайте скорее ответ на мою претензию! Сколько будете тянуть, сколько будет происходить проверка внутри банка!? Я думал для этого достаточно недели.",1,bad,"13 мар, 2018",vtb,Дебетовые карты,Ришат,unkn
47,"Постараюсь коротко, но описывать много. Весной 2017 года открыл счет в банке финам и брокерский счет. Открывал в городе Санкт Петербург у менеджера Сергея Кудрявцева. Открыли без проблем и присвоили эл. ключ. Попробовав финам брокер решил, что он мне не подходит и при выводе денег мне позвонил менеджер и предложил открыть счет у партнера финама Jast2Treyd. В дальнейшем я работал через партнера банка и забыл о счете в финаме. В декабре 2017 года неудачно вошел в позицию и просел. Дабы выдержать просадку решил пополнить счет и выждать до разворота рынка. Деньги на сбере и делов то перевести в финам и закинуть на счет, но... Попасть в личный кабинет не могу, а на звонок в ТП мне ответили, что без эл. ключа это сделать невозможно. А где ключ, а ключ в банке. Хмм... Помчался в банк по пути заскочив в сбер и сняв деньги, предположив, что сразу в банке закину на счет и проблемы нет. Придя в банк и объяснив девушке на ресепшене о том, как и куда должны пойти деньги получил от нее бумагу с много цифр. Зайдя в кассу и положив деньги с дальнейшим перечислением я вернулся домой. Открываю терминал и обнаруживаю, что денег нет. Звоню в банк и мне отвечают, что девушка ошиблась и отправила деньги на мой старый брокерский счет в финаме. !!! Собираюсь и бегу в банк, а там меня уже ждет весь самый ""профессиональный"" состав отделения. Сергей К-ев и Зоя (не помню фамилию) начальница отдела. Быстро попадаем в ЛК и Зоя возвращает деньги на основной счет, а после переводит на счет Jast2Treyd. Я прошу подтвердить мне, что сегодня деньги будут на счету, на что мне оба в голос говорят, что ну максимум час и деньги придут!!! Вот Вам М. Е. кофе, вот Вам скидка на обслуживание, простите, простите и я спокойно возвращаюсь домой. Денег нет, их нет и утром следующего дня... Звоню: да мы знаем о Вашей проблеме и можете не переживать, такое иногда случается и прямо сейчас я (девушка на другом конце провода) пишу гарантийное письмо нашим партнерам. Уверяю Вас М. Е., что все будет хорошо, не переживайте, возмут на особый контроль. Утро, денег нет, легкий утренний геп и денег нет на счету партнера... Звоню... Ничего не знаем, ни чего не говорили, не обещали. Признали, что да, были ошибки персонала, но Вы знаете, торговля на финансовых рынках связанна с рисками... Вот цепочка: К-в и отсутствие ключа, ресепшен и деньги мимо, К-в и Зоя в течении часа 100%, девушка по телефону и гарантийное письмо... И все это зря. Деньги пришли только на следующий день и то к вечеру, но спасать было уже нечего. Большая часть переговоров записана на диктофон, айпи со входом в ЛК и время поступление денег на терминал заскринено. Но в банке отвечают, что время перевода может составлять двое суток, а все обещания наших сотрудников, ну они были не компетентны их давать и Вы сами виноваты.",1,bad,"10 мар, 2018",finam,Обслуживание,Максим,male
48,"Пришло персональное предложение от банка ВТБ на кредит. Уточнив все детали и возможность оформления без страховки,пошла в банк. В банке началось веселье, мне отказали в выдаче кредита без страховки,ничем это не аргументировав. Причём на просьбу покажите где это написано,отказались что либо говорить.на вопрос могу ли потом отказаться от страховки,сказали потом придёте в Втб Страхование и напишите заявление. Придя в Втб Страхование в этот же день,меня отправили обратно в банк,сказав что это новые условия коллективного страхования. Написав претензию и заявление на исключение из списка застрахованных. Ответ должен был быть в течении 14 дней,пришёл месяц и ответа нет, написано 3 претензии и обращения и банк молчит.",1,bad,"07 мар, 2018",vtb,Кредиты наличными,Александр,male
49,"при открытии вклада 14.0218 в г Ялуторовск не ставя меня в известность открыли еще и потребительский кредит номер 1575970964 с банковским счетом 40817810750114832727 для осуществления расчетно-кассового обслуживания по карте Халва=15 тысяч.как уверяют работники банка и в договоре под 0%годовых на дату открытия счета.когда это кредиты выдавались банками без %?зачем мне навязали кредит ,если я не буду пользоваться картой Халва?у меня другие источники для оплаты.Как можно закрыть этот счет.чтобы на мне не висели 15 тыс?в договоре указано,что банк взимает плату за оказание услуг по данному договору.через 6 месяцев(срок вклада) какая сумма набежит вместо 15 тыс?Зачем вы это делаете,у Совкомбанка и так плохая репутация.Мне открывали карточку и счет в Сбербанке и никто не требовал и 10 руб для открытия счета.не говоря.обманным путем открывать счет на потребительский кредит.Выход.как можно скорей обратно забрать свой вклад.тогда и закроются два счета:расчетный и счет вклада?",1,bad,"05 мар, 2018",sovkombank,Кредиты наличными,Надежда,female
